product_id,variant_group_id,skuid,product_name,brand,category_l1,gender,category_l2,category_l3,category_l4,fit,fabric,color,pattern,size,selling_price,price_bucket,discount_percent,ratings,stock_status,searchable_text,synonyms,product_url,product_description,image_urls,total_reviews,product_series,care_instructions,designer,package_description,subtitle,author_name,author_about,publisher_date,language,dimensions,store,display_title,created_at
ISBN_9781594634024,BOOK_DUKE_011,1594634025,Thinking in Bets,Portfolio,books,UNISEX,Psychology,Strategy,Decision & Strategy,Regular,Paper,Blue,Print,Standard,690,500-1000,9,4.4,IN_STOCK,Thinking in Bets Annie Duke decision making strategy,"['annie duke thinking bets','thinking bets book']",https://www.amazon.in/s?k=Thinking+in+Bets+Annie+Duke+book,A guide to making better decisions by thinking in probabilities rather than certainties.,https://covers.openlibrary.org/b/isbn/9780735216358-L.jpg,4120,Decision Making Series,Handle carefully,Portfolio Publishing,Paperback 288 pages English,Decision making strategies,Annie Duke,Annie Duke is a former professional poker player and decision strategy consultant.,6/2/2018,English,5.4 x 0.9 x 8.1 inches,Amazon,Thinking in Bets by Annie Duke (Decision Making Guide),4/29/2026
ISBN_9780385490818,BOOK_COELHO_012,038549081X,The Alchemist,HarperOne,books,UNISEX,Philosophical Fiction,Philosophy,Philosophy & Life Lessons,Regular,Paper,Yellow,Print,Standard,540,500-1000,13,4.7,IN_STOCK,The Alchemist Paulo Coelho spiritual journey adventure,"['alchemist coelho book','paulo coelho alchemist']",https://www.amazon.in/s?k=The+Alchemist+Paulo+Coelho+book,A philosophical novel about a shepherd boy searching for treasure and discovering his destiny.,https://covers.openlibrary.org/b/isbn/9780062315007-L.jpg,18700,Philosophy Fiction Series,Store dry,HarperOne,Paperback 208 pages English,A journey of self discovery,Paulo Coelho,Paulo Coelho is a Brazilian author known for inspirational novels translated worldwide.,1/1/1988,English,5.1 x 0.6 x 7.7 inches,Amazon,The Alchemist by Paulo Coelho (Philosophical Adventure Novel),4/29/2026
ISBN_9780062457714,BOOK_VANCE_013,62457713,Hillbilly Elegy,Harper,books,UNISEX,Biography,Psychology,Psychology & Personal Growth,Regular,Paper,Red,Print,Standard,780,500-1000,10,4.4,IN_STOCK,Hillbilly Elegy JD Vance memoir social issues,"['hillbilly elegy memoir','jd vance hillbilly elegy']",https://www.amazon.in/s?k=Hillbilly+Elegy+J+D+Vance+book,A memoir exploring family culture and economic struggles in rural America.,https://covers.openlibrary.org/b/isbn/9780062300546-L.jpg,8200,Modern Memoirs Series,Handle carefully,Harper Publishing,Paperback 272 pages English,Memoir of family and culture,J D Vance,J D Vance is an American author venture capitalist and political commentator.,6/28/2016,English,5.4 x 0.8 x 8.2 inches,Amazon,Hillbilly Elegy by J D Vance (Modern Memoir),4/29/2026
ISBN_9780142437230,BOOK_AUSTEN_014,142437239,Pride and Prejudice,Penguin Classics,books,UNISEX,Classics,Classics,Literature & Classics,Regular,Paper,Cream,Print,Standard,550,500-1000,12,4.8,IN_STOCK,Pride and Prejudice Jane Austen classic romance novel,"['pride prejudice book','jane austen pride prejudice']",https://www.amazon.in/s?k=Pride+and+Prejudice+Jane+Austen+book,A classic romantic novel exploring manners upbringing morality and marriage in early nineteenth century England.,https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg,11200,Classic Literature Series,Keep dry,Penguin Publishing,Paperback 432 pages English,A classic love story,Jane Austen,Jane Austen was an English novelist known for her romantic fiction and social commentary.,28-Jan-1813,English,5.2 x 0.9 x 8.0 inches,Amazon,Pride and Prejudice by Jane Austen,4/29/2026
ISBN_9780307887443,BOOK_KIYOSAKI_015,030788744X,Rich Dad Poor Dad,Plata Publishing,books,UNISEX,Finance,Finance,Finance & Business,Regular,Paper,Purple,Print,Standard,720,500-1000,15,4.7,IN_STOCK,Rich Dad Poor Dad financial education wealth building,"['rich dad poor dad book','kiyosaki finance book']",https://www.amazon.in/s?k=Rich+Dad+Poor+Dad+Robert+Kiyosaki+book,A financial self help book teaching the difference between working for money and making money work for you.,https://covers.openlibrary.org/b/isbn/9781612680194-L.jpg,13500,Finance Education Series,Store safely,Plata Publishing,Paperback 336 pages English,Financial education guide,Robert T Kiyosaki,Robert Kiyosaki is an entrepreneur investor and author known for financial education books.,1/4/1997,English,5.3 x 0.8 x 8.1 inches,Amazon,Rich Dad Poor Dad Financial Guide,4/29/2026
ISBN_9780062315007,BOOK_DU_SWE_016,62315005,The Subtle Art of Not Giving a F*ck,Harper,books,UNISEX,Self Help,Psychology,Psychology & Personal Growth,Regular,Paper,Orange,Print,Standard,650,500-1000,18,4.6,IN_STOCK,Subtle Art Not Giving F Mark Manson self help mindset,"['subtle art book','mark manson self help']",https://www.amazon.in/s?k=The+Subtle+Art+of+Not+Giving+a+F*ck+Mark+Manson+book,A counterintuitive self help guide encouraging readers to focus only on what truly matters.,https://covers.openlibrary.org/b/isbn/9780062457714-L.jpg,15800,Mindset Improvement Series,Keep away from water,Harper Publishing,Paperback 224 pages English,A counterintuitive approach to life,Mark Manson,Mark Manson is a blogger and author focusing on self improvement and life philosophy.,9/13/2016,English,5.4 x 0.7 x 8.1 inches,Amazon,The Subtle Art of Not Giving a F*ck Book,4/29/2026
ISBN_9780596007126,BOOK_LUTZ_017,596007120,Learning Python,OReilly Media,books,UNISEX,Technology,Technology,Technology & Programming,Regular,Paper,White,Print,Standard,2100,2000-2500,10,4.7,IN_STOCK,Learning Python programming OReilly coding python guide,"['learning python book','python programming lutz']",https://www.amazon.in/s?k=Learning+Python+Mark+Lutz+book,A comprehensive guide to the Python programming language covering fundamentals and advanced concepts.,https://covers.openlibrary.org/b/isbn/9781449355739-L.jpg,4200,Programming Guides Series,Handle carefully,OReilly Media,Paperback 1648 pages English,Comprehensive python guide,Mark Lutz,Mark Lutz is a leading Python trainer author and software developer.,6/7/2013,English,7.0 x 2.1 x 9.2 inches,Amazon,Learning Python Programming Guide,4/29/2026
ISBN_9780262033848,BOOK_RUSSELL_018,262033844,Artificial Intelligence A Modern Approach,Pearson,books,UNISEX,Technology,Technology,Technology & Programming,Regular,Paper,Blue,Print,Standard,3200,3000-3500,8,4.7,IN_STOCK,Artificial Intelligence Modern Approach AI Russell Norvig,"['ai modern approach book','russell norvig ai']",https://www.amazon.in/s?k=Artificial+Intelligence+A+Modern+Approach+Russell+Norvig+book,The leading textbook on artificial intelligence covering theory algorithms and practical applications.,https://covers.openlibrary.org/b/isbn/9780136042594-L.jpg,6400,AI Education Series,Store dry,Pearson Publishing,Hardcover 1132 pages English,AI textbook reference,Stuart Russell,Stuart Russell is a computer scientist known for research in artificial intelligence.,11/12/2009,English,8.0 x 2.0 x 9.5 inches,Amazon,Artificial Intelligence Modern Approach Book,4/29/2026
ISBN_9780132350884,BOOK_CLEAN_CODE_019,132350882,Clean Code,Prentice Hall,books,UNISEX,Technology,Technology,Technology & Programming,Regular,Paper,White,Print,Standard,1900,1500-2000,10,4.8,IN_STOCK,Clean Code Robert Martin programming best practices,"['clean code book','robert martin coding']",https://www.amazon.in/s?k=Clean+Code+Robert+C+Martin+book,A handbook of agile software craftsmanship focusing on writing clean maintainable code.,https://covers.openlibrary.org/b/isbn/9780132350884-L.jpg,9800,Software Engineering Series,Keep dry,Prentice Hall,Hardcover 464 pages English,A handbook of agile craftsmanship,Robert C Martin,Robert Martin is a software engineer and author known for advocating clean coding practices.,1/8/2008,English,7.0 x 1.3 x 9.1 inches,Amazon,Clean Code Programming Handbook,4/29/2026
ISBN_9780735211292,BOOK_HABITS_020,735211299,Atomic Habits,Avery,books,UNISEX,Self Help,Productivity,Habit & Productivity,Regular,Paper,White,Print,Standard,800,500-1000,20,4.9,IN_STOCK,Atomic Habits James Clear productivity habits improvement,"['atomic habits james clear','habit formation book']",https://www.amazon.in/s?k=Atomic+Habits+James+Clear+book,A guide explaining how small changes lead to remarkable results in personal and professional life.,https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg,22000,Productivity Series,Store safely,Avery Publishing,Paperback 320 pages English,Tiny changes remarkable results,James Clear,James Clear writes about habits decision making and continuous improvement.,10/16/2018,English,5.4 x 0.9 x 8.2 inches,Amazon,Atomic Habits Productivity Book,4/29/2026
ISBN_9780385472579,BOOK_ZEN_021,385472579,Zen and the Art of Motorcycle Maintenance,HarperTorch,books,UNISEX,Philosophy,Philosophy,Philosophy & Life Lessons,Regular,Paper,Yellow,Print,Standard,690,500-1000,11,4.6,IN_STOCK,Zen Motorcycle Maintenance philosophy journey book,"['zen motorcycle maintenance book','robert pirsig zen']",https://www.amazon.in/s?k=Zen+and+the+Art+of+Motorcycle+Maintenance+Robert+Pirsig+book,A philosophical journey combining travel narrative and reflections on quality and values.,https://covers.openlibrary.org/b/isbn/9780060589462-L.jpg,5300,Philosophy Travel Series,Handle carefully,HarperTorch,Paperback 540 pages English,A philosophical journey novel,Robert M Pirsig,Robert Pirsig was an American writer and philosopher.,1/4/1974,English,5.3 x 1.0 x 8.0 inches,Amazon,Zen and the Art of Motorcycle Maintenance Book,4/29/2026
ISBN_9780060850524,BOOK_BRONTE_022,60850523,Jane Eyre,Harper Perennial,books,UNISEX,Classics,Classics,Literature & Classics,Regular,Paper,Green,Print,Standard,560,500-1000,9,4.7,IN_STOCK,Jane Eyre Charlotte Bronte classic gothic novel,"['jane eyre book','charlotte bronte jane eyre']",https://www.amazon.in/s?k=Jane+Eyre+Charlotte+Bronte+book,A classic novel following an orphan girlÃ¢â‚¬â„¢s emotional growth and search for independence.,https://covers.openlibrary.org/b/isbn/9780141441146-L.jpg,8900,Classic Literature Series,Keep dry,Harper Perennial,Paperback 532 pages English,Gothic romance classic,Charlotte Bronte,Charlotte Bronte was an English novelist and poet famous for Jane Eyre.,16-Oct-1847,English,5.2 x 1.1 x 8.0 inches,Amazon,Jane Eyre Classic Novel,4/29/2026
ISBN_9780143039952,BOOK_HERODOTUS_023,143039954,The Histories,Penguin Classics,books,UNISEX,History,History,History,Regular,Paper,Cream,Print,Standard,880,500-1000,7,4.5,IN_STOCK,Herodotus Histories ancient greek history wars,"['herodotus histories book','ancient greek history text']",https://www.amazon.in/s?k=The+Histories+Herodotus+book,One of the earliest works of history describing the Greco Persian wars and ancient cultures.,https://covers.openlibrary.org/b/isbn/9780140449082-L.jpg,4100,Ancient History Series,Handle carefully,Penguin Publishing,Paperback 720 pages English,Ancient history masterpiece,Herodotus,Herodotus was an ancient Greek historian often called the father of history.,01-Jan-440BC,English,5.5 x 1.4 x 8.2 inches,Amazon,The Histories by Herodotus,4/29/2026
ISBN_9781501128035,BOOK_SIMON_024,1501128035,Start With Why,Portfolio,books,UNISEX,Business,Finance,Finance & Business,Regular,Paper,Yellow,Print,Standard,720,500-1000,14,4.7,IN_STOCK,Start With Why Simon Sinek leadership motivation business,"['start with why book','simon sinek leadership']",https://www.amazon.in/s?k=Start+With+Why+Simon+Sinek+book,A leadership book explaining how great leaders inspire action by focusing on purpose.,https://covers.openlibrary.org/b/isbn/9781591846444-L.jpg,8200,Leadership Series,Keep dry,Portfolio Publishing,Paperback 256 pages English,How great leaders inspire everyone,Simon Sinek,Simon Sinek is a motivational speaker and author known for his work on leadership and organizational success.,12/29/2009,English,5.3 x 0.8 x 8.0 inches,Amazon,Start With Why Leadership Book,4/29/2026
ISBN_9780525559474,BOOK_DELIO_025,525559477,The Psychology of Money,Harriman House,books,UNISEX,Finance,Finance,Finance & Business,Regular,Paper,Green,Print,Standard,680,500-1000,16,4.8,IN_STOCK,Psychology of Money Morgan Housel finance investing mindset,"['psychology of money book','morgan housel finance']",https://www.amazon.in/s?k=The+Psychology+of+Money+Morgan+Housel+book,Timeless lessons about wealth greed and happiness through behavioral finance stories.,https://covers.openlibrary.org/b/isbn/9780857197689-L.jpg,14200,Finance Mindset Series,Store safely,Harriman House,Paperback 256 pages English,Timeless lessons on wealth,Morgan Housel,Morgan Housel is a partner at The Collaborative Fund and an award winning financial writer.,8/9/2020,English,5.4 x 0.7 x 8.2 inches,Amazon,The Psychology of Money Finance Book,4/29/2026
ISBN_9780804139298,BOOK_DUHIGG_026,804139296,The Power of Habit,Random House,books,UNISEX,Psychology,Productivity,Habit & Productivity,Regular,Paper,White,Print,Standard,710,500-1000,12,4.7,IN_STOCK,Power of Habit Charles Duhigg psychology behavior change,"['power of habit book','duhigg habits']",https://www.amazon.in/s?k=The+Power+of+Habit+Charles+Duhigg+book,Explores the science behind habits and how they can be changed in business and personal life.,https://covers.openlibrary.org/b/isbn/9780812981605-L.jpg,9600,Habit Science Series,Keep dry,Random House,Paperback 416 pages English,Why we do what we do in life,Charles Duhigg,Charles Duhigg is a Pulitzer Prize winning journalist and author focusing on productivity and habits.,2/28/2012,English,5.3 x 1.1 x 8.0 inches,Amazon,The Power of Habit Book,4/29/2026
ISBN_9780066620992,BOOK_GOLEMAN_027,66620996,Emotional Intelligence,Bantam,books,UNISEX,Psychology,Psychology,Psychology & Personal Growth,Regular,Paper,Blue,Print,Standard,640,500-1000,10,4.6,IN_STOCK,Emotional Intelligence Daniel Goleman psychology EQ leadership,"['emotional intelligence goleman','eq psychology book']",https://www.amazon.in/s?k=Emotional+Intelligence+Daniel+Goleman+book,A groundbreaking book explaining the importance of emotional intelligence in success.,https://covers.openlibrary.org/b/isbn/9780553383713-L.jpg,7200,Psychology Insight Series,Store dry,Bantam Publishing,Paperback 352 pages English,Why emotional intelligence matters,Daniel Goleman,Daniel Goleman is a psychologist and science journalist known for his work on emotional intelligence.,1/10/1995,English,5.4 x 0.9 x 8.2 inches,Amazon,Emotional Intelligence Psychology Book,4/29/2026
ISBN_9780062457738,BOOK_HARARI_028,006245773X,21 Lessons for the 21st Century,Harper,books,UNISEX,Social Science,History,History,Regular,Paper,White,Print,Standard,890,500-1000,11,4.6,IN_STOCK,21 Lessons Yuval Noah Harari future politics technology,"['21 lessons book','harari future society']",https://www.amazon.in/s?k=21+Lessons+for+the+21st+Century+Yuval+Noah+Harari+book,Examines pressing global challenges including technology politics and climate change.,https://covers.openlibrary.org/b/isbn/9780525512196-L.jpg,6900,Harari Future Series,Handle carefully,Harper Publishing,Paperback 400 pages English,Exploring the future of humanity,Yuval Noah Harari,Yuval Noah Harari is a historian and bestselling author known for global history analysis.,8/30/2018,English,5.5 x 1.0 x 8.3 inches,Amazon,21 Lessons for the 21st Century Book,4/29/2026
ISBN_9780451524935,BOOK_ORWELL_029,451524934,Animal Farm,Signet Classics,books,UNISEX,Political Satire,Classics,Literature & Classics,Regular,Paper,Grey,Print,Standard,420,0-500,8,4.7,IN_STOCK,Animal Farm George Orwell satire political allegory,"['animal farm book','orwell animal farm']",https://www.amazon.in/s?k=Animal+Farm+George+Orwell+book,A satirical allegorical novella criticizing totalitarian regimes through a farm animal rebellion.,https://covers.openlibrary.org/b/isbn/9780451526342-L.jpg,17800,Classic Political Series,Keep dry,Signet Publishing,Paperback 112 pages English,A political satire classic,George Orwell,George Orwell was an English novelist famous for political and dystopian fiction.,8/17/1945,English,5.1 x 0.5 x 7.8 inches,Amazon,Animal Farm Classic Satire,4/29/2026
ISBN_9780316769488,BOOK_SALINGER_030,316769487,The Catcher in the Rye,Little Brown,books,UNISEX,Classics,Classics,Literature & Classics,Regular,Paper,Red,Print,Standard,520,500-1000,9,4.4,IN_STOCK,Catcher in the Rye JD Salinger coming of age novel,"['catcher rye book','salinger catcher rye']",https://www.amazon.in/s?k=The+Catcher+in+the+Rye+J+D+Salinger+book,A story about teenage alienation and rebellion told through the voice of Holden Caulfield.,https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg,10500,Classic Literature Series,Handle carefully,Little Brown,Paperback 277 pages English,A coming of age novel,J D Salinger,J D Salinger was an American writer known for his novel The Catcher in the Rye.,7/16/1951,English,5.2 x 0.8 x 8.0 inches,Amazon,The Catcher in the Rye Classic Novel,4/29/2026
ISBN_9780671027032,BOOK_COVey_031,671027034,The 7 Habits of Highly Effective People,Free Press,books,UNISEX,Self Help,Productivity,Habit & Productivity,Regular,Paper,Blue,Print,Standard,780,500-1000,14,4.8,IN_STOCK,7 Habits Stephen Covey leadership productivity success,"['7 habits book','covey leadership habits']",https://www.amazon.in/s?k=The+7+Habits+of+Highly+Effective+People+Stephen+Covey+book,A personal development book presenting powerful habits for achieving effectiveness.,https://covers.openlibrary.org/b/isbn/9781982137274-L.jpg,15200,Productivity Classics Series,Store safely,Free Press,Paperback 432 pages English,Powerful lessons in personal change,Stephen R Covey,Stephen Covey was an educator author and keynote speaker on leadership.,8/15/1989,English,5.4 x 1.0 x 8.2 inches,Amazon,The 7 Habits of Highly Effective People Book,4/29/2026
ISBN_9781982157280,BOOK_COVERT_032,1982157283,The Infinite Game,Portfolio,books,UNISEX,Business,Strategy,Decision & Strategy,Regular,Paper,Black,Print,Standard,740,500-1000,12,4.6,IN_STOCK,Infinite Game Simon Sinek leadership strategy business,"['infinite game book','sinek strategy leadership']",https://www.amazon.in/s?k=The+Infinite+Game+Simon+Sinek+book,Explains how businesses succeed by adopting long term thinking rather than short term wins.,https://covers.openlibrary.org/b/isbn/9780735213500-L.jpg,6300,Leadership Strategy Series,Keep dry,Portfolio Publishing,Paperback 272 pages English,Leadership for long term success,Simon Sinek,Simon Sinek is a leadership expert and bestselling author.,10/15/2019,English,5.3 x 0.8 x 8.1 inches,Amazon,The Infinite Game Leadership Book,4/29/2026
ISBN_9780593230251,BOOK_RICHARDS_033,593230256,Psychology of Success,Penguin,books,UNISEX,Psychology,Strategy,Decision & Strategy,Regular,Paper,White,Print,Standard,600,500-1000,10,4.5,IN_STOCK,Psychology of Success mindset growth motivation book,"['success mindset book','psychology success guide']",https://www.amazon.in/s?k=Psychology+of+Success+book,A motivational guide explaining the psychological principles behind achieving personal success.,https://covers.openlibrary.org/b/isbn/9780061733826-L.jpg,2100,Success Mindset Series,Store safely,Penguin Publishing,Paperback 248 pages English,Mindset for achieving success,Robert Richards,Robert Richards is a motivational author and behavioral psychology writer.,12/5/2017,English,5.3 x 0.7 x 8.0 inches,Amazon,Psychology of Success Motivation Book,4/29/2026
ISBN_9780345803481,BOOK_MARTIN_034,345803485,A Game of Thrones,Bantam,books,UNISEX,Fantasy,Fantasy,Fantasy & Adventure,Regular,Paper,Multi-color,Print,Standard,890,500-1000,12,4.8,IN_STOCK,Game of Thrones George RR Martin epic fantasy novel,"['game of thrones book','martin fantasy novel']",https://www.amazon.in/s?k=A+Game+of+Thrones+George+R+R+Martin+book,The first book of the famous epic fantasy series set in the fictional continents of Westeros and Essos.,https://covers.openlibrary.org/b/isbn/9780553593716-L.jpg,18200,A Song of Ice and Fire Series,Keep dry,Bantam Publishing,Paperback 864 pages English,Epic fantasy adventure,George R R Martin,George R R Martin is an American novelist and screenwriter known for epic fantasy storytelling.,6/8/1996,English,5.5 x 1.7 x 8.2 inches,Amazon,A Game of Thrones Fantasy Book,4/29/2026
